text,label,lang,source,link,cleaned_text,processed_text
біля бази ядерних сил сша помітили нло daily mail відомо що кілька днів тому очевидці зняли на відео величезний обєкт нібито схожий на нло в 100 км від ядерної бази malmstrom,фейк,ukr,Twitter,https://x.com/by_ukraine/status/1835426124320710665?s=46&t=yAY_xL4GsZkc8jmQEXuOZg,daily mail malmstrom,daily mail malmstrom
orban twierdzi e nato organizuje misj wojskow na ukraine i wgry nie wezm w niej udziau,фейк,pol,prisonplanet,"https://www.prisonplanet.pl/polityka/orban_twierdzi_ze_nato,p1020397835",orban twierdzi e nato organizuje misj wojskow na ukraine i wgry nie wezm w niej udziau,orban twierdzi e nato organizuje misj wojskow na ukraine wgry nie wezm w niej udziau
po 2027 roku ukraina przestanie istniewielu ukraicw postrzega woodymyra zeenskiego jako dyktatora ktry za gar srebra zdradzi swj kraj 20 maja kadencja prezydencka zeenskiego formalnie dobiega koca ale dopki na ukrainie panuje stan wojenny to nie odbd si tam adne nowe wybory poniewa przegra by on z kretesem,фейк,pol,prisonplanet,"https://www.prisonplanet.pl/ekonomia/po_2027_roku_ukraina,p1902374770",po roku ukraina przestanie istniewielu ukraicw postrzega woodymyra zeenskiego jako dyktatora ktry za gar srebra zdradzi swj kraj maja kadencja prezydencka zeenskiego formalnie dobiega koca ale dopki na ukrainie panuje stan wojenny to nie odbd si tam adne nowe wybory poniewa przegra by on z kretesem,po roku ukraina przestanie istniewielu ukraicw postrzega woodymyra zeenskiego jako dyktatora ktry za gar srebra zdradzi swj kraj maja kadencja prezydencka zeenskiego formalnie dobiega koca ale dopki na ukrainie panuje stan wojenny nie odbd si tam adne nowe wybory poniewa przegra z kretesem
ak banderowska patologia witowaa w generalnym gubernatorstwie dzie niepodlegoci nazistowsko banderowskiego nowotworu o nazwie ukraina,фейк,pol,kresywekrwi.blogspot,https://kresywekrwi.blogspot.com/2024/09/jak-banderowska-patologia-swietowaa-w.html,ak banderowska patologia witowaa w generalnym gubernatorstwie dzie niepodlegoci nazistowsko banderowskiego nowotworu o nazwie ukraina,ak banderowska patologia witowaa w generalnym gubernatorstwie dzie niepodlegoci nazistowsko banderowskiego nowotworu nazwie ukraina
війна в україні стане глибшою та жорсткішою у 20252026 роках the guardian глава мзс великої британії девід леммі зазначив що тривають делікатні переговори з сша щодо дозволу україні використовувати ракети storm shadow для атак на територію росії підкреслюючи важливість витримки та рішучості в цей критичний час,правда,ukr,Telegram,https://t.me/c/1172830166/86346,the guardian storm shadow,guardian storm shadow
український f16 міг розбитися через пошкодження які були йому завдані уламками збитої російської ракети breaking defense видання зазначає що це не перший випадок втрати літака через таку причину до цього нібито від уламків збитих ракет було втрачено два міг29 і ще кілька інших літаків,правда,ukr,Telegram,https://t.me/c/1172830166/86242,f breaking defense,f breaking defense
трамп збирається тимчасово перекваліфікуватися на співробітника mcdonalds кандидат у президенти сша від республіканської партії дональд трамп заявив що хоче спробувати попрацювати у мережі ресторанів швидкого харчування mcdonalds за його словами він збирається включити півгодинну зміну в ресторані до свого графіку наступного тижня,фейк,ukr,google,https://glavcom.ua/world/world-politics/tramp-zibravsja-piti-pratsjuvati-u-mcdonalds-1022164.html,mcdonalds mcdonalds,mcdonalds mcdonalds
перша леді україни разом із чоловікомпрезидентом перебуває з робочою поїздкою у сша олена зеленська у ньюйорку отримала нагороду unlock big change від всесвітньої благодійної організації theirworld якою відзначають лідерів що змагаються за право дітей на освіту,правда,ukr,google,https://tsn.ua/lady/news/obschestvo/u-rozkishniy-vishivanci-i-shtanyah-palaco-krasiva-olena-zelenska-otrimala-nagorodu-u-nyu-yorku-2666241.html,unlock big change theirworld,unlock big change theirworld
премєрміністр польщі дональд туск під час засідання кризового штабу з питань протидії наслідкам повені заявив що варшава має боротися з бобрами які знищують вали зведені для стримування води про це повідомляє onet,фейк,ukr,google,https://glavcom.ua/world/world-politics/tusk-zbirajetsja-borotisja-iz-bobrami-bo-voni-zavazhajut-likviduvati-naslidki-poveni-zmi-1022165.html#google_vignette,onet,onet
кандидат у президенти сша від республіканської партії дональд трамп відреагував на приїзд українського президента під час мітингу у пенсільванії дональд трамп заявив що володимир зеленський є найкращим продавцем в історії адже він приїжджає в сша нібито просто для того щоб повернутися додому із 60 мільярдами доларів про це повідомляє видання bloomberg,фейк,ukr,google,https://glavcom.ua/news/tramp-ne-duzhe-vvichlivo-okharakterizuvav-zelenskoho-pid-chas-vistupu-1022157.html,bloomberg,bloomberg
українцям та прихильникам україни доведеться змиритися з тим що росія за підсумками війни збереже контроль над окупованими територіями принаймні на деякий час таку думку висловив президент чеської республіки петр павел в інтервю the new york times,правда,ukr,google,https://www.unian.ua/world/treba-buti-realistom-za-pidsumkami-viyni-ukrajina-vtratit-teritoriji-prezident-chehiji-12766614.html,the new york times,new york times
кандидат у президенти сша дональд трамп зневажливо відгукнувся про візит українського лідера володимира зеленського до сша назвавши його найбільшим продавцем в історії як пише bloomberg трамп під час мітингу в понеділок у пенсильванії перед генеральною асамблеєю оон заявив що підходитиме до політики україни поіншому,правда,ukr,google,https://www.unian.ua/world/vizit-zelenskogo-do-ssha-reakciya-trampa-12766704.html,bloomberg,bloomberg
росія планує на чверть збільшити військові витрати у бюджеті 2025 року про це пише bloomberg із посиланням на проект трирічного бюджету рф з яким вдалося ознайомитися журналістам,правда,ukr,google,https://www.unian.ua/world/viyna-v-ukrajini-viyskoviy-byudzhet-rf-viroste-na-chvert-12766578.html,bloomberg,bloomberg
сотні тисяч росіян залишили свої домівки тому що не хотіли мати нічого спільного з війною правителя рф володимира путіна або були вигнані з країниагресорки про це у своїй колонці для the new york times пише російська журналістка юлія яппарова,правда,ukr,google,https://www.unian.ua/world/putin-robit-te-chogo-mayzhe-nihto-ne-pomichaye-12766302.html,the new york times,new york times
norad відстежило політ чотирьох військових літаків росії біля аляски обєднане командування аерокосмічної оборони північної америки norad зафіксувало чотири російські військові літаки в небі над аляскою про це йдеться в повідомленні в соцмережі x norad літаки залишалися в міжнародному повітряному просторі norad виявило та відстежило чотири російські військові літаки які кружляли неподалік місця яке розташоване у зоні стеження ппо аляски 23 вересня 2024 року,фейк,ukr,google,https://glavcom.ua/world/world-politics/-ssha-pomitili-rosijski-vijskovi-litaki-bilja-aljaski-1022207.html#google_vignette,norad norad x norad norad,norad norad x norad norad
американка аліда алекін зробила онлайнтест днк і випадково знайшла свого дядька який зник у шестирічному віці 73 роки тому зниклий луїс армандо альбіно якого викрали з каліфорнійського парку у 1951 році весь цей час жив на іншому кінці країни повідомляють mercury news та the washington post,правда,ukr,google,https://life.pravda.com.ua/society/u-ssha-zhinka-znayshla-svogo-dyadka-yakogo-vikrali-ditinoyu-73-roki-tomu-303879/,mercury news the washington post,mercury news washington post
на 76 році життя помер барабанщик легендарного гурту авва роджер палм він довгий час боровся з хворобою альцгеймера про це його сімя повідомила шведському виданню aftonbladet,правда,ukr,google,https://life.pravda.com.ua/culture/pomer-barabanshchik-gurtu-abba-rodzher-palm-303916/,aftonbladet,aftonbladet
ukrajnsk tok na kursk je blzko k nespechu когда это произойдет это будет первый сильным сигналом что система начала трещать по швам и дальше будет хуже также и по первым массовым митингам под тцк и тд все прогнозируют хаос на 2025 гонную версию,фейк,slo,Web-site,https://www.hlavnespravy.sk/isw-ukrajinsky-utok-na-kursk-je-blizko-k-neuspechu/3651516,ukrajnsk tok na kursk je blzko k nespechu,ukrajnsk tok na kursk je blzko k nespechu
korruptes land im osten wieder ein neuer siegesplan des schauspieler prsidenten когда это произойдет это будет первый сильным сигналом что система начала трещать по швам и дальше будет хуже также и по первым массовым митингам под тцк и тд все прогнозируют хаос на 2025 гонную версию,фейк,ger,Web-site,https://alles-schallundrauch.blogspot.com/2024/09/korruptes-land-im-osten-wieder-ein.html,korruptes land im osten wieder ein neuer siegesplan des schauspieler prsidenten,korruptes land im osten wieder ein neuer siegesplan des schauspieler prsidenten
erdgas es kommt mehr aus russland als aus den vielgeprerdgas es kommt mehr aus russland als aus den vielgepriesenen usaiesenen usa,фейк,ger,Web-site,https://alles-schallundrauch.blogspot.com/2024/09/erdgas-es-kommt-mehr-aus-russland-als.html,erdgas es kommt mehr aus russland als aus den vielgeprerdgas es kommt mehr aus russland als aus den vielgepriesenen usaiesenen usa,erdgas es kommt mehr aus russland als aus den vielgeprerdgas es kommt mehr aus russland als aus den vielgepriesenen usaiesenen usa
m pakua caa prawda o amerykaskiej obecnoci wojskowej,фейк,pol,Web-site,https://dziennik-polityczny.com/2024/09/20/m-pakula-cala-prawda-o-amerykanskiej-obecnosci-wojskowej/,m pakua caa prawda o amerykaskiej obecnoci wojskowej,pakua caa prawda amerykaskiej obecnoci wojskowej
et za kursk dobrodrustv zelensk operaci prosadil proti svm generlm opakuje se historie v odse u opt mluv rusky nadje zotroench se upnaj k putinovi kdy vypukne proti banderovcm povstn,фейк,pol,Web-site,https://protiproud.info/politika/8188-ucet-za-kurske-dobrodruzstvi-zelensky-operaci-prosadil-proti-svym-generalum-opakuje-se-historie-v-odese-uz-opet-mluvi-rusky-nadeje-zotrocenych-se-upinaji-k-putinovi-kdy-vypukne-proti-banderovcum-povstani.htm,et za kursk dobrodrustv zelensk operaci prosadil proti svm generlm opakuje se historie v odse u opt mluv rusky nadje zotroench se upnaj k putinovi kdy vypukne proti banderovcm povstn,et za kursk dobrodrustv zelensk operaci prosadil proti svm generlm opakuje se historie v odse u opt mluv rusky nadje zotroench se upnaj k putinovi kdy vypukne proti banderovcm povstn
главнокомандующий вооруженных сил украины всу валерий залужный опубликовал в twitter фото на котором на его руке можно заметить браслет со свастикой,фейк,rus,Газета.ru,https://www.gazeta.ru/amp/army/news/2022/10/09/18756805.shtml,twitter,twitter
хакерське обєднання anonymous зламало базу даних однієї з найбільших харчових компаній світу nestle через її позицію щодо продовження роботи в рф попри війну проти україни напередодні anonymous пригрозили усім компаніям які досі працюють в росії і дали 48 годин на вихід із рф інакше вони стануть ціллю хакерів,правда,ukr,Facebook,https://www.facebook.com/story.php?story_fbid=5625562890791658&id=114351485246187&rdid=Yvg7VQA0LKP9pAuW,anonymous nestle anonymous,anonymous nestle anonymous
3лнcькuй гeть злeтiв з кoтyшoк peзoнaнcн звiльнння бyдaнoвa зi cкaндaлoм вuгaняють пpuчuнa ш0кyє,фейк,ukr,Facebook,https://www.facebook.com/story.php?story_fbid=517781350973963&id=100082263081526&rdid=lPZ7IgIrr1mYQwWp,cu e ei oyo peoac i yaoa i caao ua puua y,cu e ei oyo peoac yaoa caao ua puua
сша готують пакет військової допомоги україні на суму 375 мільйонів доларів його планують оголосити вже наступного тижня повідомляє reuters із посиланням на анонімних посадовців сша пакет допомоги передбачає патрульні катери додаткові боєприпаси для високомобільних артилерійських ракетних систем himars артилерійські боєприпаси калібру 155 і 105 міліметрів запасні частини та інше озброєння,правда,ukr,Facebook,https://www.facebook.com/story.php?story_fbid=942657931234694&id=100064714866867&rdid=XrYATxHDJaXthyhq,reuters himars,reuters himars
cьогодні стало відомо що гур звільнило вовчанський агрегатний завод на харківщині який був захоплений російськими військами у травні 2024 року відомо що станом на кінець вересня там перебувала невелика кількість російських військ приблизно 40 окупантів більшість із них небоєздатна,правда,ukr,Facebook,https://www.facebook.com/100064470260986/posts/958210069671326/?rdid=8iddnnuUCydQENet,c,c
украинская разведка вербует радикалов в сирии афганистане и мали для совершения терактов на территории россии об зтом заявила официальный представитель мид мария захарова в ходе брифинга на полях іv евразийского женского форума в санктпетербурге,фейк,rus,РИА Новости,https://www.facebook.com/story.php?story_fbid=848025460814770&id=100068219718932&rdid=1ZyIj0KzlOez2brv,v,v
володимир зеленський у межах візиту до сша отримав нагороду американської академії досягнень the golden plate award яку вручають за внесок у розвиток людства повідомляють у telegramканалі українського президента,правда,ukr,Facebook,https://www.facebook.com/share/p/RWi33NvbD28AxQjX/,the golden plate award telegram,golden plate award telegram
kharkiv russias terrorism strikes again with air bombs hitting four residential districts three casualties confirmed so far in one area a residential buildings floors collapsed from the eighth to the third,правда,eng,X,https://x.com/igorlachenkov/status/1838569686973178344,kharkiv russias terrorism strikes again with air bombs hitting four residential districts three casualties confirmed so far in one area a residential buildings floors collapsed from the eighth to the third,kharkiv russias terrorism strikes air bombs hitting four residential districts three casualties confirmed far one area residential buildings floors collapsed eighth third
astronaut tracy dyson and her crewmates are safely home on earth after todays soyuz landing at 759am et 1159 utc dyson has completed a sixmonth research mission on the space station her third spaceflight,правда,eng,X,https://x.com/NASA/status/1838255492096811311,astronaut tracy dyson and her crewmates are safely home on earth after todays soyuz landing at am et utc dyson has completed a sixmonth research mission on the space station her third spaceflight,astronaut tracy dyson crewmates safely home earth todays soyuz landing et utc dyson completed sixmonth research mission space station third spaceflight
on july 24 196955 years ago todayapollo11 astronauts neil armstrong buzz aldrin and michael collins landed in the pacific ocean after eight days in space apollo 11 was the first of six apollo missions to land on the moon,правда,eng,X,https://x.com/NASA/status/1816156405071491089,on july years ago todayapollo astronauts neil armstrong buzz aldrin and michael collins landed in the pacific ocean after eight days in space apollo was the first of six apollo missions to land on the moon,july years ago todayapollo astronauts neil armstrong buzz aldrin michael collins landed pacific ocean eight days space apollo first six apollo missions land moon
xxxiii літні олімпійські ігри в парижі 2024 року стали історією українські атлети здобули 12 медалей три з яких золоті,правда,ukr,Facebook,https://www.facebook.com/share/p/jo5dQ9F6uVsnbybB/,xxxiii,xxxiii
запад поставляет в украину неисправные боеприпасы сообщает handelsblattотмечается что ходе боевого применения вышеупомянутых снарядов произошли многочисленные взрывы боеприпасов на расстоянии от 20 до 60 метров от дула причинившие ранения личному составу и повредившие артиллерийские системыпричиной неисправности в издании называют старые детонаторы м515 и м51а5 разработанные во время второй мировой войны часть таких боеприпасов была доставлена в рамках чешской инициативы а часть из сша,фейк,rus,telegram,(https://www.handelsblatt.com/politik/international/waffenlieferungen-ukraine-klagt-ueber-schlechte-munition-aus-dem-westen/100067996.html),handelsblatt,handelsblatt
білий дім розробляє план б щодо продовження військової допомоги україні politico адміністрація президента сша джо байдена працює над планом розширення своїх повноважень щодо відправки зброї україні на 59 мільярда доларів до кінця місяця це дозволить продовжити постачання зброї києву без дій конгресу,правда,ukr,Google Chrome,https://suspilne.media/844143-bilij-dim-rozroblae-plan-b-sodo-prodovzenna-vijskovoi-dopomogi-ukraini-politico/,politico,politico
українські лікарні отримали від японії обладнання на понад 21 млн моз українські медзаклади вже отримали від японії девять апаратів мрт один компютерний томограф і два нейрохірургічні мікроскопи загальна вартість обладнання становить понад 21 мільйон доларів а його передача відбулась у межах першого етапу грантової угоди між японським агентством міжнародного співробітництва jica та україною,правда,ukr,Google Chrome,https://suspilne.media/843641-ukrainski-likarni-otrimali-vid-aponii-obladnanna-na-ponad-21-mln-moz/,jica,jica
премєру словаччини фіцо надіслали конверт із кулею нещодавно він пережив замах премєрміністру словаччини роберту фіцо надіслали конверт із кулею зараз його перевіряє управління захисту посадових осіб і дипломатичних місій словаччини про це словацькому виданню aktuality повідомили у пресслужбі уряду країни конверт надійшов премєру 25 вересня зранку усю пошту фіцо спочатку перевіряє служба безпеки увагу привернув зовнішній вигляд листа рентгенівська перевірка показала що в ньому лежить куля зараз справу розглядає словацька поліція,правда,ukr,Google Chrome,https://babel.ua/news/111168-prem-yeru-slovachchini-fico-nadislali-konvert-iz-kuleyu-neshchodavno-vin-perezhiv-zamah,aktuality,aktuality
напередодні виступу на генасамблеї оон президент володимир зеленський дав велике інтервю журналісту the new yorker джошуа яффі він розповів про причини й наслідки курської операції і свій план перемоги за даними британського видання the sunday times у ньому є чотири ключових пункти гарантії безпеки від заходу на кшталт пакту про взаємну оборону членів нато конкретне сучасне озброєння міжнародна фінансова допомога для зруйнованої економіки україни і можливість продовжити курську операцію зсу щоб мати територіальний козир для переговорів президент також прокоментував підтримку заходу і заяви дональда трампа та джей ді венса про те як швидко закінчити війну в україні ми спростили його цитати але зберегли їхню суть переказуємо інтервю в одному абзаці,правда,ukr,Google Chrome,https://babel.ua/texts/111101-zelenskiy-dav-interv-yu-the-new-yorker-pro-plan-peremogi-perekazuyemo-v-odnomu-abzaci,the new yorker the sunday times,new yorker sunday times
махінації з вугіллям на 12 мільйонів гривень колишньому заступнику голови міненерго обрали запобіжний захід колишньому заступнику міністра енергетики та колишньому директору дп укрвугілля обрали запобіжні заходи у вигляді особистого зобовязання їх підозрюють у завданні державі майже 12 мільйонів гривень збитків правоохоронці не називають імен підозрюваних однак джерела hromadske в правоохоронних органах підтвердили що йдеться про колишнього заступника міністра енергетики максима немчинова та колишнього гендиректора державного підприємства укрвугілля віталія зюзька,правда,ukr,Google Chrome,https://hromadske.ua/suspilstvo/231817-makhinatsiyi-z-vuhilliam-na-12-mln-hrn-kolyshnyomu-zastupnyku-holovy-minenerho-obraly-zapobiznyy-zakhid,hromadske,hromadske
незаконно вивозив агропродукцію через крим капітану заарештованого в порту рені судна оголосили підозру в україні оголосили підозру капітану іноземного морського судна usko mfu який здійснював вивезення агропродукції через закриті морські порти тимчасово окупованого криму про це інформує пресслужба офісу генпрокурораза даними слідства у жовтні 2023 року іноземець керуючи судном usko mfu під прапором камеруну здійснив незаконний захід до закритого україною севастопольського морського торговельного порту тим самим він порушив законодавство україни та норми міжнародного морського правазазначається що у криму судно було завантажено понад 3 тисячами тонн агропродукції призначеної для турецької компанії,правда,ukr,Google Chrome,https://espreso.tv/kryminal-nezakonno-vivoziv-agroproduktsiyu-cherez-krim-kapitanu-zaareshtovanogo-v-portu-reni-sudna-ogolosili-pidozru,usko mfu usko mfu,usko mfu usko mfu
ukraina uderza w rosyjski przemys naftowy,фейк,pol,myslpolska.info,https://myslpolska.info/2024/05/11/ukraina-uderza-w-rosyjski-przemysl-naftowy/#google_vignette,ukraina uderza w rosyjski przemys naftowy,ukraina uderza w rosyjski przemys naftowy
війна в україні може стати вічною захід і київ мають різні уявлення про її закінчення the times,правда,ukr,tsn.ua,https://tsn.ua/ukrayina/viyna-v-ukrayini-mozhe-stati-vichnoyu-zahid-i-kiyiv-mayut-rizni-uyavlennya-pro-yiyi-zakinchennya-the-times-2664843.html,the times,times
natus vincere посіли перше місце у турнірі з counterstrike 2 esl pro league s20 вони перемогли турецьку eternal fire з рахунком 32 здобутим першим місцем у цьому важливому змаганні вони ще раз підтвердили статус топ команди світу в cs2 цього року вони також вони стали чемпіонами pgl major copenhagen та перемогли у ерріяді саудівська аравія змагаючись у esports world cup navi системно допомагають зсу з 2022 року вони є амбасадорами united24 українська кіберспортивна організація належить бізнесмену максиму кріппі,правда,ukr,Telegram,https://t.me/+4kAkN49IKJBhZDk6,natus vincere counterstrike esl pro league s eternal fire cs pgl major copenhagen esports world cup navi united,natus vincere counterstrike esl pro league eternal fire cs pgl major copenhagen esports world cup navi united
ого у землі зявиться другий місяць з 29 вересня до 25 листопада на нашій орбіті буде обертатися астероїд 2024 pt5 його можна буде побачити у професійних телескопах,правда,ukr,Telegram,https://t.me/+bGpZFNsAYzAxNTli,pt,pt
у румунії знову виявили уламки дрона поблизу кордону з україною мова йде про фрагменти іранського shahed які виявили в районі села плауру що навпроти українського міста ізмаїл на одещині дату коли уламки впали не вказують проте 9 вересня в цьому регіоні знайшли інші фрагменти безпілотника,правда,ukr,Telegram,https://t.me/+4kAkN49IKJBhZDk6,shahed,shahed
сша завтра оголосять пакет військової підтримки україні на 375 млн доларів voice of america там будуть ракети для f16 класу повітряземля які дозволять винищувачам діяти вдалині від лінії фронту,правда,ukr,Telegram,https://t.me/+4kAkN49IKJBhZDk6,voice of america f,voice america f
на прощании с пушкиным споет дантес в одессе снесут памятник великому поэту холодной снежной зимой 1837 года жорж шарль дантес произвел смертельный выстрел в пушкина промозглой ветреной осенью 2024 года губернатор кипер росчерком parkera повелел снести памятник пушкину в одессе мэр одессы геннадий труханов попытался воспротивиться воле губернатора но тут же получил волшебный пендель в виде очередного слива компромата губернатор с мэром померились паспортами не в пользу пушкина памятник снесут а уже 22 сентября на похоронах александра пушкина в одессе доведется спеть николаю дантесу,фейк,rus,Telegram,https://t.me/bloknot_rossiya,parkera,parkera
провайдер бест планує у 2021 році відмовитися від послуг телебачення провайдер інтернету і телебачення бест із київської області планує з нового року відмовитися від надання послуг телебачення про це повідомив представник компанії на засіданні національної ради з питань телебачення і радіомовлення 10 грудня невдовзі компанія планує подати до нацради заяву про анулювання ліцензії провайдера програмної послуги з нового року бест не буде займатися ретрансляцією телеканалів а надаватиме лише послуги інтернету повідомив представник компанії на засіданні 10 грудня нацрада розглядала результати позапланової перевірки компанії в обухові київської області регулятор оголосив бесту попередження за ретрансляцію кількох іноземних неадаптованих каналів дикий disney gulli girl мама amedia hit amedia,фейк,ukr,Детектор Медіа,https://detector.media/rinok/article/183266/2020-12-11-provayder-best-planuie-u-2021-rotsi-vidmovytysya-vid-poslug-telebachennya-dopovneno/,disney gulli girl amedia hit amedia,disney gulli girl amedia hit amedia
будівництво сміттєпереробного заводу у львові зупинилося про це повідомив депутат міської ради назар бербека він голова тимчасової контрольної комісії з питань діяльності цього підприємства склалася кризова ситуація угоду з польським підрядником можна вважати розірваною написав він у facebook з посиланням на комунальне підприємство зелене місто підрядником будівництва була польська компанія control process sa,правда,ukr,ЕКОНОМІЧНА ПРАВДА,https://www.epravda.com.ua/news/2024/09/24/719756/,facebook control process sa,facebook control process sa
фбр розслідує ймовірну спробу замаху на трампа деталі у повідомленні йдеться що трамп перебуває в безпеці після пострілів поблизу нього і додаткових деталей поки немає за даними джерел the new york post двоє людей влаштували перестрілку біля поля для гольфу trump west palm beach за словами джерел вони цілилися один в одного і стрілянина була не по трампу джерела повідомили що трамп не був у небезпеці і що стрілянина сталася за межами клубу який відомий високою злочинністю підозрюваний був затриманий місцевою поліцією після того як на полі для гольфу трампа пролунали постріли чоловік взятий під варту після пострілів був відносно спокійним під час затримання заявив у неділю шериф округу мартін вільям снайдер william d snyder,правда,ukr,УКРАЇНСКА ПРАВДА,https://www.pravda.com.ua/news/2024/09/15/7475223/,the new york post trump west palm beach william d snyder,new york post trump west palm beach william snyder
у пентагоні пояснили що буде з коштами для україни після кінця фіскального року у вересні пряма мова як ви знаєте ми дуже наполегливо працювали з конгресом щоб отримати цю додаткову суму та розподілити ці гроші для україни у пакетах pda та usai деталі речниця не стала робити припущень щодо долі залишків коштів але вказала на те що вашингтон оголошує пакети допомоги україні майже щотижня пряма мова ми продовжуємо робити це на постійній основі я не сумніваюся що ми збираємося використати все що в нас є щоб забезпечити надалі надання україні всього що їй потрібно як у короткостроковій так і довгостроковій перспективі сінгх додала що сша планують використати залишкові кошти в будьякий можливий спосіб,правда,ukr,УКРАЇНСКА ПРАВДА,https://www.pravda.com.ua/news/2024/09/6/7473849/,pda usai,pda usai
путін розплатився з кім чен ином за снаряди породистими кіньми the times правитель рф володимир путін відправив лідеру північної кореї кім чен ину 24 коні породи орловський рисак в якості часткової оплати за артилерійські снаряди для війни проти україни деталі як зазначає видання кім чен ин отримав нову партію коней з росії що стало останньою ознакою зростаючого зближення між північнокорейським лідером і путіним згідно з повідомленням ветеринарної служби приморського краю який має залізничне сполучення з північною кореєю минулої неділі через вузький сухопутний кордон було перевезено 24 коні 19 жеребців і пять кобил орловські рисаки відомі як улюблена порода кіма саме на таких конях він постає на пропагандистських зображеннях поширюваних режимом кндр тридцять коней цієї породи також були відправлені до пхеньяну в 2022 році,правда,ukr,УКРАЇНСКА ПРАВДА,https://www.pravda.com.ua/news/2024/08/31/7472889/,the times,times
буданов у комі роспропаганда видала нову сенсацію але спалилася російські пропагандисти запустили фейк про те що очільник головного управління розвідки мо україни кирило буданов нібито перебуває у німецькій клініці після поранення ба більше кремлівські рупори заявляють що він у комі дезінформаційну кампанію підтримали практично усі топпропагандисти воєнкори та zканали зокрема й володимир соловйов усі вони в один голос і майже ідентичним текстом заявляють що буданов у комі цю інформацію нібито злили медики німецькому журналу stern втім видання не писало про це й слова,фейк,ukr,УНІАН,https://www.unian.ua/russianworld/budanov-u-komi-rospropaganda-vidala-novu-sensaciyu-ale-spalilasya-12296910.html,z stern,z stern
лякають терактом на запорізькій аес росіяни запустили чергову дезінформаційну кампанію російські teleegramканали запустили чергову дезінформаційну кампанію роспропагандисти поширили відео в якому натякають на те що підірвуть запорізьку атомну електростанцію про це повідомив центр протидії дезінформації ворожі tgканали запустили дезінформаційноманіпулятивну кампанію мета якої залякати українців роспропагандисти ширять провокативне відео де натякають на підрив запорізької аес у відеоролику рашисти показали вибух на кримському мосту підрив північного потоку 2 а також підрив каховської гес йдеться у повідомленні в центр протидії дезінформації наголосили що таким маніпулятивним методом ворог натякає що все це справа рук україни і намагається зняти з себе відповідальність за скоєне,фейк,ukr,УНІАН,https://www.unian.ua/war/lyakayut-teraktom-na-zaporizkiy-aes-rosiyani-zapustili-chergovu-dezinformaciynu-kampaniyu-12293715.html,teleegram tg,teleegram tg
росіяни розкручують у соцмережах нове іпсо про смерть залужного російські окупанти продовжують розкручувати у соціальних мережах фейки про нібито смерть головнокомандувача збройними силами україни валерія залужного у центрі стратегічних комунікацій повідомляють що цього разу вони використали для інформаційнопсихологічної операції фейковий сайт міністерства закордонних справ росіяни поставили на рекламу у соціальній мережі facebook допис із скептичною реакцією на начебто спростування від мзс україни фейка про смерть головнокомандувача у дописі йдеться про те що влада бреше українцям намагаючись їх заспокоїти а сам залужний нібито вже поза грою,фейк,ukr,УНІАН,https://www.unian.ua/society/rosiyani-rozkruchuyut-u-socmerezhah-nove-ipso-pro-smert-zaluzhnogo-12303549.html,facebook,facebook
шабунін та шерембей планують звернення до послів країн заходу з метою підставити президента засновник центру протидії корупції віталій шабунін та дмитро шерембей готують лист до посольств західних держав у драфті листи шабунін нібито стверджує що нова українська влада явно взяла курс на згортання боротьби з корупцією а головні ідеологи розвороту до політики підтримки олігархів перебувають на вулиці банковій про це повідомляє telegramканал україна 247 передає унн,фейк,ukr,Українські національні новини,https://unn.ua/news/shabunin-ta-sherembey-planuyut-zvernennya-do-posliv-krayin-zakhodu-z-metoyu-pidstaviti-prezidenta,telegram,telegram
